-6.6605,-5.867,-5.722,-5.6229,-5.5923,-5.6076,-5.6076
-6.6605,-5.8975,-5.7678,-5.6229,-5.6305,-5.6381,-5.6305
-6.691,-5.9433,-5.7831,-5.6763,-5.5923,-5.6381,-5.6458
-6.7444,-5.9967,-5.7907,-5.6915,-5.6458,-5.661,-5.6839
-83.282,-81.787,-81.398,-81.146,-81.161,-81.726,-81.787
-77.034,-75.523,-75.256,-74.966,-75.012,-75.294,-75.493
-64.659,-63.255,-62.996,-62.729,-62.729,-62.767,-62.973
-52.307,-51.064,-50.781,-50.507,-50.484,-50.415,-50.575
-42.152,-41.016,-40.733,-40.504,-40.428,-40.276,-40.421
-34.492,-33.417,-33.112,-32.928,-32.837,-32.669,-32.806
-28.976,-27.992,-27.679,-27.443,-27.412,-27.298,-27.359
-25.162,-24.2,-23.888,-23.727,-23.689,-23.567,-23.666
-22.522,-21.568,-21.263,-21.149,-21.103,-21.057,-21.133
-20.714,-19.775,-19.508,-19.371,-19.333,-19.341,-19.417
-19.463,-18.517,-18.272,-18.166,-18.112,-18.166,-18.242
-18.585,-17.654,-17.403,-17.296,-17.25,-17.311,-17.403
-17.952,-17.029,-16.777,-16.693,-16.647,-16.701,-16.792
-17.494,-16.586,-16.304,-16.22,-16.19,-16.22,-16.35
-17.143,-16.19,-15.961,-15.877,-15.854,-15.907,-16.022
-16.869,-15.877,-15.686,-15.594,-15.579,-15.648,-15.755
-16.617,-15.663,-15.457,-15.396,-15.381,-15.419,-15.541
-16.434,-15.495,-15.289,-15.205,-15.182,-15.251,-15.32
-16.273,-15.327,-15.152,-15.038,-14.977,-15.091,-15.19
-16.129,-15.221,-15.015,-14.908,-14.9,-14.946,-15.045
-16.029,-15.106,-14.839,-14.786,-14.771,-14.862,-14.938
-15.945,-14.999,-14.763,-14.687,-14.679,-14.74,-14.854
-15.869,-14.908,-14.694,-14.626,-14.572,-14.687,-14.763
-15.77,-14.847,-14.648,-14.519,-14.519,-14.595,-14.671
-15.678,-14.771,-14.565,-14.458,-14.45,-14.496,-14.626
-15.648,-14.732,-14.519,-14.427,-14.359,-14.481,-14.542
-15.587,-14.671,-14.45,-14.297,-14.336,-14.427,-14.465
-15.556,-14.603,-14.374,-14.275,-14.29,-14.359,-14.42
-15.488,-14.58,-14.359,-14.244,-14.236,-14.313,-14.389
-15.472,-14.549,-14.336,-14.198,-14.206,-14.252,-14.343
-15.411,-14.473,-14.282,-14.183,-14.175,-14.252,-14.313
-15.381,-14.45,-14.259,-14.175,-14.13,-14.236,-14.297
-15.366,-14.427,-14.229,-14.145,-14.084,-14.145,-14.252
-15.35,-14.42,-14.191,-14.084,-14.076,-14.13,-14.198
-15.305,-14.397,-14.16,-14.061,-14.023,-14.099,-14.198
-15.274,-14.32,-14.13,-14.053,-14.008,-14.084,-14.191
-15.236,-14.32,-14.13,-14.03,-14.008,-14.053,-14.13
-15.205,-14.29,-14.114,-14,-13.969,-14.061,-14.122
-15.205,-14.305,-14.099,-13.977,-13.924,-14.008,-14.114
-15.198,-14.275,-14.061,-13.977,-13.939,-13.992,-14.107
66.322,66.628,66.765,66.498,66.643,67.131,67.177
59.7,59.883,60.051,59.914,60.051,60.234,60.379
46.814,46.982,47.104,47.043,47.112,47.058,47.18
33.966,34.241,34.317,34.286,34.294,34.096,34.187
23.331,23.705,23.766,23.766,23.75,23.476,23.529
15.213,15.747,15.808,15.808,15.785,15.533,15.564
9.3689,9.9564,10.017,10.117,10.033,9.8267,9.8801
5.2109,5.8823,5.9509,6.012,5.9662,5.8212,5.8289
2.2964,3.0136,3.1204,3.1586,3.1433,3.0136,3.0365
0.27466,0.99182,1.0605,1.1749,1.1673,1.0681,1.1139
-1.1444,-0.43488,-0.32806,-0.2594,-0.20599,-0.29755,-0.28992
-2.182,-1.4496,-1.3504,-1.2589,-1.2283,-1.2894,-1.236
-2.9526,-2.2507,-2.0981,-1.9836,-1.9379,-2.0065,-1.9989
-3.5324,-2.8305,-2.655,-2.533,-2.533,-2.5253,-2.5101
-3.9673,-3.2806,-3.0975,-2.9984,-2.9526,-2.9678,-2.9526
-4.3106,-3.5706,-3.4332,-3.3646,-3.3112,-3.334,-3.3035
-4.6082,-3.8834,-3.7231,-3.6163,-3.5934,-3.6011,-3.5934
-4.8294,-4.1199,-3.9597,-3.8605,-3.8071,-3.8376,-3.7918
-5.0354,-4.3106,-4.1428,-4.0588,-3.9444,-4.0131,-3.9978
-5.1804,-4.5013,-4.3106,-4.2267,-4.1504,-4.1733,-4.1733
-5.3406,-4.6539,-4.425,-4.364,-4.303,-4.3106,-4.3106
-5.5008,-4.7684,-4.5929,-4.4937,-4.4556,-4.4556,-4.4479
-5.6,-4.8752,-4.6997,-4.6158,-4.5624,-4.5471,-4.57
-5.6458,-4.9744,-4.8065,-4.7302,-4.6539,-4.6768,-4.6463
-5.7602,-5.0583,-4.8828,-4.8294,-4.7379,-4.7531,-4.7684
-5.8365,-5.1346,-4.9744,-4.8981,-4.8141,-4.8676,-4.8218
-5.9357,-5.2338,-5.0201,-4.9057,-4.8904,-4.921,-4.8523
-5.9967,-5.2643,-5.1041,-4.9896,-4.9591,-4.9744,-4.9591
-6.0425,-5.3482,-5.1575,-5.0507,-5.0125,-5.0354,-5.0278
-6.1035,-5.3787,-5.2032,-5.127,-5.0659,-5.1041,-5.0812
-6.1569,-5.4474,-5.2795,-5.1804,-5.1575,-5.1346,-5.1498
-6.218,-5.5008,-5.2948,-5.2185,-5.1727,-5.188,-5.1727
-6.2637,-5.5313,-5.3558,-5.2795,-5.2032,-5.2109,-5.2338
-6.2866,-5.5923,-5.3864,-5.3024,-5.2795,-5.249,-5.2719
-6.3324,-5.6076,-5.4092,-5.3406,-5.2872,-5.3101,-5.3253
-6.3477,-5.6076,-5.4169,-5.3864,-5.3329,-5.3101,-5.3253
-6.3705,-5.6305,-5.4703,-5.394,-5.3711,-5.3787,-5.3787
-6.4011,-5.661,-5.5161,-5.4245,-5.3711,-5.4092,-5.4169
-6.4468,-5.722,-5.5618,-5.4779,-5.3864,-5.4474,-5.4474
-6.4774,-5.7373,-5.5542,-5.4779,-5.4092,-5.455,-5.4626
-82.718,-81.619,-81.192,-81.017,-80.963,-81.528,-81.573
-76.744,-75.363,-75.081,-74.852,-74.867,-75.203,-75.333
-64.56,-63.103,-62.836,-62.584,-62.614,-62.675,-62.874
-52.277,-50.896,-50.621,-50.354,-50.369,-50.262,-50.43
-42.076,-40.81,-40.527,-40.283,-40.215,-40.062,-40.237
-34.348,-33.18,-32.875,-32.677,-32.6,-32.455,-32.578
-28.74,-27.679,-27.367,-27.161,-27.122,-27.016,-27.061
-24.826,-23.842,-23.499,-23.354,-23.346,-23.224,-23.323
-22.125,-21.187,-20.889,-20.752,-20.683,-20.668,-20.744
